Player,Pass Yds,Yds/Att,Att_x,Cmp,Cmp %,TD_x,INT,Rate,1st,1st%_x,20+_x,40+_x,Lng_x,Sck,SckY,Rush Yds,Att_y,TD_y,20+_y,40+_y,Lng_y,Rush 1st,Rush 1st%,Rush FUM,Rec,Yds,TD,20+,40+,LNG,Rec 1st,1st%_y,Rec FUM,Rec YAC/R,Tgts
Sam Darnold,2717,8.3,327,221,67.6,21,10,101.7,126,38.5,43,7,97,31,202,165,48,1,0,0,19,20,41.7,3,0,0,0,0,0,0,0,0,0,0,0
Sam Franklin Jr.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Sam LaPorta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,385,3,7,1,52,17,60.7,0,208,38
Samaje Perine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,15,1,0,0,13,6,40,0,19,185,1,3,0,35,9,47.4,0,183,25
Saquon Barkley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1392,223,10,12,6,72,53,23.8,1,27,257,2,4,1,43,12,44.4,0,225,33
Scott Matlock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,16,0,0,0,9,0,0,0,11,3
Scott Miller,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,31,0,1,0,20,1,50,0,22,4
Sean Tucker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,30,2,1,0,36,11,36.7,1,8,104,1,1,0,36,6,75,0,103,9
Shane Zylstra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,0,1,0,22,1,100,0,13,1
Simi Fehoko,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,106,0,2,0,30,6,100,0,16,16
Sincere McCormick,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,5,0,0,0,19,2,40,0,0,0,0,0,0,0,0,0,0,0,0
Sione Vaki,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,6,0,0,0,7,0,0,0,1,17,0,0,0,17,1,100,0,2,1
Skylar Thompson,187,5.7,33,21,63.6,0,0,78.7,8,24.2,1,0,22,6,44,4,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Skyy Moore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Spencer Rattler,571,5.8,99,59,59.6,1,2,70.7,23,23.2,7,1,41,14,73,61,9,0,1,0,28,3,33.3,1,0,0,0,0,0,0,0,0,0,0,0
Stefon Diggs,13,13,1,1,100,0,0,118.8,1,100,0,0,13,0,0,8,3,1,0,0,6,1,33.3,0,47,496,3,5,1,49,31,66,0,185,64
Sterling Shepard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,7,0,1,0,24,3,42.9,0,21,182,1,1,0,30,7,33.3,0,42,32
Steven Sims,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stone Smartt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,41,0,1,0,31,2,100,0,12,3
T.J. Hockenson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,226,0,4,0,34,13,65,0,63,25
Tank Bigsby,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,519,95,4,4,2,65,21,22.1,1,3,36,0,1,0,28,1,33.3,0,40,5
Tank Dell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,8,0,0,0,18,2,25,0,42,520,2,6,1,50,26,61.9,0,150,68
Tanner Conner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,0,0,0,11,1,33.3,0,5,4
Tanner Hudson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,100,0,12,87,1,0,0,13,5,41.7,1,49,16
Tavierre Thomas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,1,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taylor Decker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Taylor Heinicke,24,12,2,2,100,0,0,116.7,1,50,0,0,18,3,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taysom Hill,21,5.2,4,2,50,0,1,26,1,25,0,0,18,0,0,268,34,6,2,1,75,17,50,0,18,150,0,1,0,34,6,33.3,1,121,24
Tee Higgins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,489,4,7,1,42,27,71,0,149,58
Terrell Jennings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Terry McLaurin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,0,0,1,53,823,7,10,5,86,37,69.8,0,229,74
Theo Johnson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,277,1,4,0,35,14,58.3,0,120,38
Tim Boyle,153,5.9,26,15,57.7,0,0,74.7,7,26.9,1,0,30,1,9,10,2,0,0,0,6,1,50,0,0,0,0,0,0,0,0,0,0,0,0
Tim Jones,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,30,0,1,0,20,2,100,0,17,4
Tim Patrick,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,258,0,5,1,42,11,57.9,0,89,23
Tip Reiman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,5,0,0,0,4,2
Tom Kennedy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Tommy DeVito,189,6.1,31,21,67.7,0,0,83.9,11,35.5,2,0,23,4,23,32,7,0,0,0,17,1,14.3,0,0,0,0,0,0,0,0,0,0,0,0
Tommy Tremble,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,77,0,1,0,20,3,30,1,40,14
Tony Pollard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,184,4,5,1,41,37,20.1,0,33,178,0,1,0,22,7,21.2,0,167,45
Travis Etienne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325,82,2,2,0,22,18,22,1,22,102,0,0,0,14,6,27.3,0,124,30
Travis Homer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3,0,0,0,6,1,33.3,0,0,0,0,0,0,0,0,0,0,0,0
Travis Kelce,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,68,569,2,7,0,38,30,44.1,2,232,88
Tre Tucker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,6,1,0,0,11,2,33.3,0,35,367,1,4,1,54,18,51.4,0,167,56
Trent Scott,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,100,0,0,1
Trent Sherfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,77,1,0,0,17,3,42.9,0,38,8
Trenton Irwin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,0,0,0,6,1,33.3,0,4,10
Trevor Lawrence,2004,7.3,274,168,61.3,11,6,87.9,96,35,31,4,85,18,140,113,25,3,1,0,33,13,52,0,0,-5,0,0,0,-5,0,0,1,-5,0
Trey Benson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234,53,1,1,0,20,12,22.6,1,5,55,0,0,0,19,3,60,0,69,5
Trey Lance,21,3.5,6,4,66.7,0,1,32.6,1,16.7,0,0,10,2,7,14,4,0,0,0,11,2,50,0,0,0,0,0,0,0,0,0,0,0,0
Trey McBride,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,2,1,100,0,61,685,0,6,0,37,35,57.4,0,276,80
Trey Palmer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,141,1,1,0,25,6,60,0,34,17
Trey Sermon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,47,2,0,0,17,13,27.7,0,12,75,0,0,0,14,3,25,0,77,13
Treylon Burks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,6,0,0,0,4,34,0,0,0,13,3,75,0,5,8
Tristan Wirfs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,9,1,0,1,9,0
Troy Franklin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,5,0,0,0,19,190,2,4,0,30,8,42.1,0,90,36
Tua Tagovailoa,1760,7.6,232,170,73.3,13,4,106.2,96,41.4,19,3,80,13,101,41,12,0,0,0,13,5,41.7,2,0,0,0,0,0,0,0,0,0,0,0
Tucker Fisk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13,0,0,0,7,0,0,0,8,3
Tucker Kraft,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,2,2,100,0,30,402,6,5,2,67,17,56.7,1,284,42
Tutu Atwell,0,0,1,0,0,0,0,39.6,0,0,0,0,0,0,0,7,1,0,0,0,7,0,0,0,30,423,0,7,1,50,21,70,0,81,45
Ty Chandler,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,169,48,0,1,0,25,7,14.6,0,6,42,0,0,0,10,2,33.3,0,53,6
Ty Johnson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,22,1,0,0,19,9,40.9,0,8,97,2,1,0,33,6,75,0,37,12
Tyjae Spears,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,43,1,0,0,19,10,23.3,0,17,88,0,1,0,29,4,23.5,0,113,18
Tylan Wallace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,169,1,2,1,84,4,57.1,0,116,7
Tyler Allgeier,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,429,85,2,3,0,24,27,31.8,0,9,56,0,0,0,13,2,22.2,0,57,9
Tyler Badie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,11,0,1,1,43,4,36.4,0,3,-2,0,0,0,2,0,0,1,4,3
Tyler Boyd,0,0,1,0,0,0,0,39.6,0,0,0,0,0,0,0,3,1,0,0,0,3,1,100,0,29,273,0,3,0,30,14,48.3,0,130,39
Tyler Conklin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,29,252,2,5,0,27,12,41.4,0,136,44
Tyler Goodson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,27,1,1,0,33,4,14.8,0,10,56,1,1,0,24,3,30,0,64,13
Tyler Huntley,377,5.7,66,39,59.1,1,1,73.9,19,28.8,3,0,25,7,45,67,16,1,1,0,20,6,37.5,1,0,0,0,0,0,0,0,0,0,0,0
Tyler Johnson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,256,0,3,1,63,7,31.8,0,151,33
Tyler Lockett,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,495,2,6,0,37,30,79,0,108,59
Tyler Smith,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,1
Tyquan Thornton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,47,0,0,0,17,2,50,0,24,8
Tyreek Hill,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,7,0,0,0,16,2,28.6,0,49,571,3,7,1,80,30,61.2,0,204,74
Tyreik McAllister,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,0,0,0,10,1,50,0,0,0,0,0,0,0,0,0,0,0,0
Tyrod Taylor,36,4.5,8,6,75,1,0,122.9,3,37.5,0,0,9,0,0,7,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyrone Tracy Jr.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,587,116,3,5,1,45,28,24.1,2,22,145,0,0,0,19,6,27.3,1,145,27
Tyson Bagent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7,6,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Van Jefferson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,178,1,2,0,36,8,50,0,46,26
Vederian Lowe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,4,1,100,0,0,1
Velus Jones Jr.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,0,0,0,6,1,50,0,1,8,0,0,0,8,0,0,0,13,1
Wan'Dale Robinson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,3,0,0,0,14,1,33.3,0,61,441,2,2,0,23,23,37.7,0,229,89
Wanya Morris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,100,0,0,1
Will Dissly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,399,1,5,0,29,18,43.9,0,240,52
Will Levis,1447,7.1,203,136,67,10,9,85.6,60,29.6,17,5,98,35,194,175,36,0,1,0,21,18,50,1,0,0,0,0,0,0,0,0,0,0,0
Will Mallory,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,22,0,0,0,10,1,33.3,0,4,6
Will Shipley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,19,0,0,0,9,1,5.3,0,0,0,0,0,0,0,0,0,0,0,0
Xavier Gipson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,40,1,0,0,17,3,60,0,20,9
Xavier Hutchinson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,70,0,0,0,19,4,57.1,0,28,18
Xavier Legette,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,5,0,0,0,8,2,40,0,33,340,4,5,0,35,19,57.6,0,72,51
Xavier Smith,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,2,0,1,0,24,1,50,0,2,6,0,0,0,11,1,50,0,5,2
Xavier Weaver,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Xavier Worthy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,11,2,1,0,21,2,18.2,0,28,353,4,3,1,54,20,71.4,0,188,54
Zach Charbonnet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238,71,4,0,0,13,16,22.5,0,27,191,1,2,0,30,5,18.5,0,204,33
Zach Davidson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,5,0,0,0,2,1
Zach Ertz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,466,3,5,0,24,27,55.1,1,108,69
Zach Frazier,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,-2,0,0,0,-2,0
Zack Moss,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242,74,2,0,0,16,13,17.6,2,23,187,1,1,0,21,11,47.8,0,194,27
Zamir White,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,65,1,0,0,17,4,6.2,2,6,30,0,0,0,14,2,33.3,0,50,8
Zay Flowers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,6,0,0,0,19,1,16.7,0,57,789,4,15,2,53,36,63.2,0,389,87
Zay Jones,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,3,1,100,0,5,2
