Player,Pass Yds,Yds/Att,Att_x,Cmp,Cmp %,TD_x,INT,Rate,1st,1st%_x,20+_x,40+_x,Lng_x,Sck,SckY,Rush Yds,Att_y,TD_y,20+_y,40+_y,Lng_y,Rush 1st,Rush 1st%,Rush FUM,Rec,Yds,TD,20+,40+,LNG,Rec 1st,1st%_y,Rec FUM,Rec YAC/R,Tgts
Kareem Hunt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,577,155,5,0,0,17,31,20,0,17,135,0,1,0,26,8,47.1,0,158,22
Kayshon Boutte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,289,1,5,1,40,14,63.6,0,43,38
Keenan Allen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,368,3,3,1,40,22,56.4,1,120,71
Kendre Miller,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,9,0,0,0,16,2,22.2,0,2,1,0,0,0,6,0,0,0,4,3
Kendric Pryor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,9,0,0,0,0,1
Kendrick Bourne,0,0,1,0,0,0,0,39.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,170,1,1,0,21,8,50,0,65,24
Kenneth Gainwell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219,47,1,0,0,19,10,21.3,0,7,49,0,0,0,11,2,28.6,0,37,11
Kenneth Walker III,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,493,129,7,5,0,28,24,18.6,0,36,274,1,1,0,21,18,50,0,303,42
Kenny McIntosh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,4,0,0,0,6,1,25,0,0,0,0,0,0,0,0,0,0,0,0
Kenny Pickett,5,1.7,3,1,33.3,0,0,42.4,0,0,0,0,5,1,8,-1,3,0,0,0,1,1,33.3,0,0,0,0,0,0,0,0,0,0,0,0
Kenny Yeboah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,27,1,0,0,12,2,66.7,0,27,3
Keon Coleman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,417,3,10,3,57,16,72.7,0,191,36
Kevin Austin Jr.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,54,0,1,0,22,3,100,0,12,4
KhaDarel Hodge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,98,1,2,1,45,4,80,0,73,6
Khalil Herbert,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,8,1,0,0,6,3,37.5,0,2,4,0,0,0,2,0,0,0,6,2
Khalil Shakir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,2,0,0,0,56,599,2,7,1,52,26,46.4,0,460,66
Kimani Vidal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,18,0,0,0,7,2,11.1,0,3,49,1,1,0,38,1,33.3,0,26,3
Kirk Cousins,2807,7.8,360,245,68.1,17,9,96.6,129,35.8,34,5,52,23,165,-3,19,0,0,0,13,1,5.3,4,0,0,0,0,0,0,0,0,0,0,0
Kristian Wilkerson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,18,1,0,0,9,2,100,0,11,3
Kyle Allen,19,19,1,1,100,0,0,118.8,1,100,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kyle Juszczyk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,3,1,0,0,14,1,33.3,0,14,119,0,1,0,34,4,28.6,0,40,21
Kyle Pitts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,494,3,6,3,52,16,45.7,0,227,52
Kyle Trask,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,2,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kylen Granson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,94,0,2,1,40,3,42.9,0,41,16
Kyler Murray,2343,7.5,313,215,68.7,12,4,98,114,36.4,27,2,60,20,124,380,48,4,5,2,50,17,35.4,3,0,0,0,0,0,0,0,0,0,0,0
Kyren Williams,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,822,207,9,2,0,30,56,27,5,25,136,2,1,0,26,6,24,0,144,31
Ladd McConkey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,698,4,8,1,60,35,71.4,1,225,69
Lamar Jackson,3053,8.9,343,231,67.4,27,3,117.9,143,41.7,41,10,84,16,96,599,103,3,4,0,33,31,30.1,3,0,0,0,0,0,0,0,0,0,0,0
Laviska Shenault Jr.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,5,36,0,0,0,18,2,40,0,46,5
Lil'Jordan Humphrey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,267,1,5,1,41,10,34.5,2,187,42
Lucas Krull,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,96,0,1,0,23,5,50,0,35,14
Luke Farrell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,55,0,0,0,11,3,33.3,0,28,12
Luke McCaffrey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,142,0,2,0,30,6,42.9,0,68,18
Luke Musgrave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,22,0,0,0,6,1,20,0,15,7
Luke Schoonmaker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,167,1,3,0,24,7,41.2,0,67,25
Mac Jones,277,4.6,60,37,61.7,0,3,51.9,13,21.7,4,0,24,6,60,15,7,1,0,0,5,3,42.9,1,0,0,0,0,0,0,0,0,0,0,0
Mack Hollins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,224,3,2,1,44,15,83.3,0,51,31
Malachi Corley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0,0,0,18,0,0,1,3,16,0,0,0,10,1,33.3,0,5,4
Malik Heath,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,41,1,0,0,12,3,50,0,10,7
Malik Nabers,0,0,1,0,0,0,0,39.6,0,0,0,0,0,0,0,-2,4,0,0,0,2,1,25,0,67,671,3,8,0,39,37,55.2,1,208,103
Malik Washington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,4,1,0,0,18,1,25,0,8,46,0,0,0,17,1,12.5,0,31,11
Malik Willis,380,9.7,39,29,74.4,3,0,130.3,15,38.5,7,1,51,5,16,137,16,1,3,0,29,6,37.5,0,0,0,0,0,0,0,0,0,0,0,0
MarShawn Lloyd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,6,0,0,0,5,0,0,0,1,3,0,0,0,3,0,0,0,8,1
Marcedes Lewis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,2,1,100,0,1,1
Marcus Jones,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marcus Mariota,203,7.8,26,19,73.1,2,0,121.2,12,46.2,2,0,25,1,4,36,13,0,0,0,11,3,23.1,0,0,0,0,0,0,0,0,0,0,0,0
Mark Andrews,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,1,100,0,37,423,6,3,0,38,26,70.3,0,121,44
Marquez Valdes-Scantling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,227,3,3,3,71,6,75,0,100,17
Marvin Harrison Jr.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,546,6,9,1,60,27,75,1,89,66
Marvin Mims Jr.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,9,0,0,0,17,3,33.3,0,16,162,1,2,0,37,5,31.2,0,174,26
Mason Rudolph,806,6.3,128,76,59.4,4,4,75.2,43,33.6,10,1,47,6,38,61,13,1,0,0,14,6,46.2,3,0,0,0,0,0,0,0,0,0,0,0
Mason Tipton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,99,0,0,0,15,2,14.3,0,27,25
Matthew Hayball,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,11,1,100,0,0,0,0,0,0,0,0,0,0,0,0
Matthew Stafford,2800,7.3,385,256,66.5,15,7,93.2,131,34,34,4,69,26,196,8,13,0,0,0,15,2,15.4,2,0,0,0,0,0,0,0,0,0,0,0
Mecole Hardman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,5,1,1,0,20,2,40,0,12,90,0,0,0,17,6,50,0,99,14
Michael Burton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,3,2,40,0,7,46,0,1,0,28,1,14.3,0,25,7
Michael Mayer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,37,0,0,0,11,3,42.9,0,11,12
Michael Penix Jr.,38,7.6,5,3,60,0,0,83.8,3,60,1,0,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michael Pittman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,508,2,10,0,33,21,51.2,0,158,72
Michael Wilson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,361,3,7,0,34,18,56.2,1,70,48
Mike Boone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mike Caliendo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,5,1,100,0,3,1
Mike Evans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,403,6,6,0,26,24,77.4,0,91,51
Mike Gesicki,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,383,2,4,1,47,21,61.8,1,134,47
Mike Williams,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,198,1,4,0,32,10,76.9,0,24,22
Miles Killebrew,0,0,1,0,0,0,0,39.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Miles Sanders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,38,1,1,0,26,9,23.7,0,21,98,0,1,0,27,3,14.3,0,137,26
Mitchell Trubisky,5,1.7,3,2,66.7,0,0,70.1,0,0,0,0,3,0,0,-7,7,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mo Alie-Cox,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,117,1,2,0,22,5,55.6,0,36,16
MyCole Pruitt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,19,0,0,0,10,0,0,0,4,4
Myles Gaskin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,3,0,0,0,2,0,0,0,1,11,0,0,0,11,0,0,0,13,1
Najee Harris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,749,191,3,6,0,36,36,18.8,0,23,195,0,3,0,32,8,34.8,0,212,31
